English	Dutch	Spanish	Item	Cognate.Spanish.English	Cognate.Spanish.Dutch	Cognate.Dutch.English	Compound.Dutch	Compound.Spanish	Compound.English	Picture	Audio_Spanish	Stem_Eng	Stem_Dutch	Stem_Spa	Eng_Acc	Dutch_Acc	Final 	FreqNLCelexLog	FreqNLCelexMl	FreqENGCelexMl	FreqSubtlexNLLg	FreqSubtlexENGLg	Condition	Syllable_Spa
candle	kaars	vela	1	non-cognate	non-cognate	non-cognate	0	0	0	candle.png	vela.wav	can	k	ve	0,975	1	1	13,617	23	5	2,4116	3,79	3	2
duck	eend	pato	1	non-cognate	non-cognate	non-cognate	0	0	0	duck.png	pato.wav	d	e	pa	0,972222222	0,972222222	1	13,802	24	9	2,5955	4,53	3	2
sleeve	mouw	manga	1	non-cognate	non-cognate	non-cognate	0	0	0	sleeve.png	manga.wav	s	m	man	0,75	1	1	13,979	25	8	2,2648	3,88	3	2
pillow	kussen	almohada	0	non-cognate	non-cognate	non-cognate	0	0	0	pillow.png	almohada.wav	pil	kus	al	0,9	1	1	14,624	29	5	3,3002	3,73	3	4
bullet	kogel	bala	0	non-cognate	non-cognate	non-cognate	0	0	0	bullet.png	bala.wav	bul	ko	ba	0,825	0,975	1	14,624	29	4	3,2817	4,08	3	2
bush	struik	arbusto	3	non-cognate	non-cognate	non-cognate	0	0	0	bush.png	arbusto.wav	b	s	ar			1	14,771	30	5	2,0755	4,29	3	3
thumb	duim	pulgar	0	non-cognate	non-cognate	non-cognate		0	0	thumb.png	pulgar.wav	th	d	pul	#N/A	#N/A	1	14,771	30	6	2,6749	3,97	3	2
skirt	rok	falda	0	non-cognate	non-cognate	non-cognate	0	0	0	skirt.png	falda.wav	s	r	fal	0,95	1	1	14,914	31	12	2,5011	3,81	3	2
blanket	deken	manta	1	non-cognate	non-cognate	non-cognate	0	0	0	blanket.png	manta.wav	blan	de	man	0,725	0,8	1	15,185	33	10	2,7938	3,93	3	2
bowl	kom	cuenco	0	non-cognate	non-cognate	non-cognate	0	0	0	bowl.png	cuenco.wav	b	k	cuen	0,75	0,666666667	1	15,315	34	10	5,0578	4,69	3	2
watch	horloge	reloj	0	non-cognate	non-cognate	non-cognate	0	0	0	watch.png	reloj.wav	w	hor	re	0,975	0,975	1	15,315	34	25	3,091	5,3	3	2
rope	touw	soga	0	non-cognate	non-cognate	non-cognate	0	0	0	rope.png	soga.wav	r	t	so	0,875	1	1	15,563	36	2	3,0603	4,3	3	2
carrot	wortel	zanahoria	0	non-cognate	non-cognate	non-cognate	0	0	0	carrot.png	zanahoria.wav	car	wor	za	0,975	0,925	1	15,682	37	2	2,4281	4,08	3	5
root	wortel	raíz	0	non-cognate	non-cognate	non-cognate	0	0	0	root.png	raíz.wav	r	wor	ra	0,475	0,925	1	15,682	37	45	2,4281	4,13	3	2
wing	vleugel	ala	1	non-cognate	non-cognate	non-cognate		0	0	wing.png	ala.wav	w	vleu	a	#N/A	#N/A	1	15,798	38	21	2,5877	4,46	3	2
painting	schilderij	cuadro	0	non-cognate	non-cognate	non-cognate	0	0	0	painting.png	cuadro.wav	pain	schil	cua	1	1	1	15,798	38	40	2,9741	4,77	3	2
knife	mes	cuchillo	0	non-cognate	non-cognate	non-cognate	0	0	0	knife.png	cuchillo.wav	k	m	cu	0,975	1	1	16,128	41	14	3,306	4,49	3	3
jail	gevangenis	cárcel	1	non-cognate	non-cognate	non-cognate		0	0	jail.png	cárcel.wav	j	ge	cár	#N/A	#N/A	1	16,335	43	26	3,6616	4,36	3	2
mug	kopje	taza	0	non-cognate	non-cognate	non-cognate		0	0	mug.png	taza.wav	m	kop	ta	#N/A	#N/A	1	16,721	47	6	2,9227	3,93	3	2
wood	hout	madera	0	non-cognate	non-cognate	non-cognate	0	0	0	wood.png	madera.wav	w	h	ma	0,95	0,95	1	16,812	48	39	3,0137	4,78	3	3
cloud	wolk	nube	0	non-cognate	non-cognate	non-cognate	0	0	0	cloud.png	nube.wav	c	w	nu	0,9	0,95	1	16,812	48	17	2,3784	4,77	3	2
wave	golf	ola	0	non-cognate	non-cognate	non-cognate	0	0	0	wave.png	ola.wav	w	g	o	0,975	0,95	1	17,853	61	61	2,8854	4,55	3	2
judge	rechter	juez	0	non-cognate	non-cognate	non-cognate		0	0	judge.png	juez.wav	j	rech	j	#N/A	#N/A	1	18,633	73	66	3,4422	4,69	3	2
leaf	blad	hoja	0	non-cognate	non-cognate	non-cognate	0	0	0	leaf.png	hoja.wav	l	b	ho	0,825	0,675	1	20,569	114	32	2,6884	4,29	3	2
tree	boom	árbol	0	non-cognate	non-cognate	non-cognate	0	0	0	tree.png	árbol.wav	t	b	ár	0,975	1	1	21,367	137	34	3,3591	4,95	3	2
horse	paard	caballo	0	non-cognate	non-cognate	non-cognate	0	0	0	horse.png	caballo.wav	h	p	ca	1	1	1	21,987	158	40	3,5632	4,99	3	3
goal	doel	portería	1	non-cognate	non-cognate	non-cognate		0	0	goal.png	portería.wav	g	d	por	#N/A	#N/A	1	22,175	165	10	3,5299	4,97	3	4
window	raam	ventana	0	non-cognate	non-cognate	non-cognate	0	0	0	window.png	ventana.wav	win	r	ven	0,95	0,95	1	22,405	174	58	3,4912	4,84	3	3
leg	been	pierna	0	non-cognate	non-cognate	non-cognate	0	0	0	leg.png	pierna.wav	l	b	pier	#N/A	#N/A	1	22,504	178	31	3,3703	4,88	3	2
back	rug	espalda	0	non-cognate	non-cognate	non-cognate		0	0	back.png	espalda.wav	b	r	es	#N/A	#N/A	1	22,553	180	147	3,5483	6,25	3	3
church	kerk	iglesia	0	non-cognate	non-cognate	non-cognate		0	0	church.png	iglesia.wav	ch	k	i	#N/A	#N/A	1	23,118	205	121	3,5412	5,02	3	4
raccoon	wasbeer	mapache	1	non-cognate	non-cognate	non-cognate		0	0	raccoon.png	mapache.wav	rac 	was	ma	#N/A	#N/A	0	0	0	0	1,8451	2,57	3	3
skunk	stinkdier	mofeta	1	non-cognate	non-cognate	non-cognate		0	0	skunk.png	mofeta.wav	s	stink	mo	#N/A	#N/A	0	0	0	0	1,9685	3,36	3	3
candy	snoep	caramelos	1	non-cognate	non-cognate	non-cognate		0	0	candy.png	caramelos.wav	can	s	ca	#N/A	#N/A	0	0,4771	3	0	1,1761	3,83	3	4
broom	bezem	escoba	3	non-cognate	non-cognate	non-cognate	0	0	0	broom.png	escoba.wav	b	be	es			0	0,6021	4	0	2,2227	3,56	3	3
cherry	kers	cereza	1	non-cognate	non-cognate	non-cognate		0	0	cherry.png	cereza.wav	cher	k	ce	#N/A	#N/A	0	0,699	5	2	1,8573	4,23	3	3
turtle	schildpad	tortuga	1	non-cognate	non-cognate	non-cognate	1	0	0	turtle.png	tortuga.wav	tur	sch	tor	0,775	1	0	0,7782	6	0	2,2833	3,64	3	3
